POA (UR),"Postgraduate Degree Level, nfd","Doctoral Degree Level, nfd",Higher Doctorate,"Professional Specialist Qualification, Doctoral Degree Level","Master Degree Level, nfd","Graduate Diploma and Graduate Certificate Level, nfd",Graduate Diploma,Graduate Certificate,"Bachelor Degree Level, nfd","Advanced Diploma and Diploma Level, nfd",Advanced Diploma,Associate Degree,"Diploma Level, nfd",Diploma,"Certificate III & IV Level, nfd",Certificate IV,Certificate III,Year 12,Year 11,Year 10,"Certificate I & II Level, nfd",Certificate II,Certificate I,Year 9,Year 8 or below,Inadequately described,No educational attainment,Not stated,Not applicable,Total
"3699, VIC",0,6,0,0,28,5,31,6,177,0,39,0,0,47,0,52,149,164,63,63,0,0,0,25,33,24,4,158,166,1242
"3700, VIC",0,3,0,0,6,0,28,3,96,0,35,0,0,58,0,66,230,130,85,150,0,0,0,61,57,26,5,141,228,1403
"3701, VIC",0,3,0,0,21,3,14,8,81,0,39,0,0,55,0,41,160,90,80,93,0,0,0,46,45,24,0,130,174,1101
"3704, VIC",0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,26
"3705, VIC",0,0,0,0,0,0,0,0,19,0,10,0,0,9,0,9,31,20,14,26,0,0,0,13,12,0,0,56,23,254
"3708, VIC",0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,11,10,4,4,0,0,0,4,0,4,0,0,11,66
"3709, VIC",0,0,0,0,5,0,4,0,22,0,10,0,0,10,0,9,54,24,15,32,0,0,0,19,12,3,0,47,25,307
"3711, VIC",0,0,0,0,10,0,3,0,75,0,27,0,0,31,0,25,105,48,50,34,0,0,0,23,10,9,0,62,77,591
"3712, VIC",0,0,0,0,0,0,4,0,22,0,12,0,0,15,0,9,67,40,22,51,0,0,0,20,11,0,0,39,37,354
"3713, VIC",0,0,0,0,12,0,16,0,65,0,33,0,0,38,0,35,177,99,79,104,0,0,0,66,46,16,3,119,106,1023
"3714, VIC",0,12,0,0,70,0,73,16,344,0,144,0,0,179,0,130,520,349,253,387,0,5,0,190,139,75,22,303,540,3749
"3715, VIC",0,0,0,0,8,0,7,0,22,0,20,0,0,26,0,15,67,33,26,25,0,0,0,18,0,6,0,49,54,371
"3717, VIC",0,19,0,0,55,8,53,8,304,0,149,0,0,152,0,100,550,313,214,337,0,0,0,164,125,83,7,425,495,3544
"3718, VIC",0,0,0,0,6,0,4,0,10,0,7,0,0,7,0,4,12,10,5,12,0,0,0,0,0,4,0,16,7,91
"3719, VIC",0,0,0,0,9,3,8,0,44,0,18,0,0,31,0,6,60,39,30,49,0,0,0,22,12,4,3,34,42,420
"3720, VIC",0,3,0,0,7,0,10,0,64,0,26,0,0,39,0,13,118,71,59,72,0,0,0,27,27,13,0,52,61,666
"3722, VIC",3,12,0,5,105,3,112,18,601,0,237,0,0,280,0,192,875,547,381,424,0,0,0,247,157,116,22,425,1055,5815
"3723, VIC",3,18,0,0,115,0,70,11,397,0,113,0,0,162,0,100,452,338,187,218,0,0,0,153,162,69,7,528,617,3727
"3725, VIC",0,3,0,0,6,0,15,4,55,0,28,0,0,32,0,19,93,65,35,63,0,0,0,27,10,15,4,65,119,645
"3726, VIC",0,0,0,0,12,0,5,0,19,0,11,0,0,12,0,6,67,37,24,42,0,0,0,19,19,8,0,63,60,411
"3727, VIC",0,0,0,0,0,0,0,0,16,0,4,0,0,5,0,9,61,23,24,30,0,0,0,14,18,5,0,38,44,303
"3728, VIC",0,0,0,0,3,0,4,0,36,0,16,0,0,15,0,22,100,55,56,92,0,0,0,43,36,6,0,58,131,687
"3730, VIC",0,11,0,0,117,9,116,20,676,5,288,3,0,392,4,299,1414,921,689,1168,0,3,0,552,468,172,15,838,1541,9719
"3732, VIC",0,0,0,0,4,0,3,0,63,0,18,0,0,32,0,29,90,65,40,46,0,0,0,23,29,10,0,54,97,608
"3733, VIC",0,0,0,0,5,0,9,0,18,0,15,0,0,19,0,9,22,20,19,21,0,0,0,6,3,0,0,19,32,220
"3735, VIC",0,0,0,0,10,0,9,4,58,5,20,4,0,32,0,23,102,63,54,43,0,0,0,23,33,6,0,50,100,638
"3737, VIC",3,6,0,4,62,4,74,7,386,0,131,0,0,189,0,150,629,438,313,444,0,3,0,211,225,82,20,381,665,4426
"3738, VIC",0,0,0,0,3,0,3,0,26,0,6,0,0,11,0,5,36,27,13,23,0,0,0,12,6,3,0,17,26,197
"3739, VIC",0,5,0,5,10,0,3,0,28,0,7,0,0,9,0,6,25,20,9,21,0,0,0,11,10,0,0,43,34,239
"3740, VIC",0,6,0,0,30,3,32,0,132,0,48,0,0,64,0,39,163,109,84,101,0,0,0,42,29,24,0,66,207,1183
"3741, VIC",3,28,0,0,98,7,85,14,474,3,142,0,0,168,0,111,426,350,177,206,0,0,0,97,74,74,6,377,505,3426
"3744, VIC",0,8,0,0,17,0,9,3,67,0,24,0,0,29,0,22,59,50,32,25,0,0,0,16,3,5,0,33,112,522
"3746, VIC",0,3,0,0,3,0,11,0,34,0,16,0,0,15,0,19,67,24,26,40,0,0,0,9,12,12,0,33,57,382
"3747, VIC",10,50,0,8,190,3,186,37,750,5,274,4,0,226,0,175,521,391,250,432,0,0,0,150,144,82,12,360,804,5054
"3749, VIC",0,21,0,3,88,3,69,11,345,0,91,5,0,94,0,75,224,159,99,160,0,0,0,53,55,31,0,137,395,2123
"3750, VIC",8,81,6,15,1672,65,244,53,3360,22,657,11,0,1557,0,504,1645,3025,696,991,0,7,0,469,549,381,253,1038,7106,24407
"3751, VIC",0,0,0,0,0,0,6,0,13,0,8,0,0,4,0,0,21,18,5,18,0,0,0,11,12,4,3,22,20,150
"3752, VIC",9,148,3,3,1021,54,318,74,3153,14,746,14,0,1272,0,758,2441,3726,1233,1516,3,10,0,757,830,475,178,1027,5217,24989
"3753, VIC",0,7,0,0,146,12,49,13,422,6,140,0,0,273,0,159,542,567,207,296,0,3,0,127,78,81,22,222,1264,4642
"3754, VIC",26,199,0,12,2105,103,667,194,6241,38,1483,29,0,2916,0,1701,5200,5784,2253,2786,0,37,0,1440,885,882,179,1735,13596,50494
"3755, VIC",0,0,0,0,3,0,4,0,26,0,8,0,0,9,0,5,40,17,13,10,0,0,0,15,14,5,3,26,34,246
"3756, VIC",10,31,0,0,384,21,180,32,1259,15,401,11,0,878,0,614,2045,1874,917,1210,0,14,0,613,390,256,77,836,3862,15931
"3757, VIC",8,24,0,0,149,9,134,32,737,4,327,3,0,471,0,359,1496,1052,583,737,0,6,4,434,354,141,35,783,1844,9735
"3758, VIC",0,8,0,0,34,0,31,15,141,3,71,0,0,104,0,83,418,202,141,164,0,0,0,91,43,37,6,206,484,2281
"3759, VIC",0,7,0,0,40,5,40,7,159,0,51,0,0,52,0,39,135,133,50,49,0,0,0,22,11,26,0,71,164,1063
"3760, VIC",0,4,0,0,13,3,10,3,55,0,23,0,0,11,0,7,54,42,15,28,0,0,0,8,5,7,0,14,60,356
"3761, VIC",0,24,0,0,46,5,26,3,171,3,71,0,0,40,0,41,156,141,63,52,0,0,0,47,12,15,0,88,185,1186
"3762, VIC",0,0,0,0,4,0,5,0,14,0,0,0,0,0,0,7,13,9,7,3,0,0,0,3,5,6,0,16,22,117
"3763, VIC",0,3,0,0,30,0,27,5,138,5,62,0,0,100,0,84,290,179,83,109,0,0,0,67,27,19,3,142,293,1662
"3764, VIC",9,27,0,5,206,14,147,30,827,0,324,4,0,530,0,398,1451,1185,617,931,0,5,0,511,405,203,26,761,1976,10578
"3765, VIC",3,28,0,0,156,3,127,33,826,4,243,4,0,372,0,244,984,765,362,474,0,3,0,216,136,138,13,415,1349,6900
"3766, VIC",0,25,0,0,73,3,40,14,239,0,50,0,0,59,0,48,127,129,48,65,0,0,0,25,16,17,3,46,245,1277
"3767, VIC",4,21,0,0,54,3,51,13,206,0,65,0,0,74,0,57,119,134,63,56,0,0,0,30,25,24,0,48,220,1271
"3770, VIC",4,7,0,0,55,9,46,4,301,3,108,3,0,139,0,125,534,352,219,273,0,0,0,149,70,54,4,216,621,3306
"3775, VIC",8,27,0,0,97,6,65,15,444,3,154,0,0,205,0,130,608,450,265,301,0,0,0,137,77,81,6,282,724,4080
"3777, VIC",13,62,0,0,245,19,192,33,1132,4,406,8,0,552,0,404,1543,1112,644,928,0,7,0,468,305,213,16,811,1812,10922
"3778, VIC",0,0,0,0,5,0,4,0,19,0,7,0,0,7,0,4,40,21,11,20,0,0,0,14,4,6,0,9,29,201
"3779, VIC",0,8,0,0,6,0,11,0,74,0,24,0,0,21,0,20,70,50,32,34,0,0,0,20,15,10,0,47,47,501
"3781, VIC",0,18,0,0,74,0,64,20,368,8,155,0,0,229,0,205,703,492,240,338,0,0,0,160,82,71,4,359,1032,4638
"3782, VIC",17,62,0,0,216,16,182,47,1021,8,279,4,0,461,0,291,1095,943,464,510,0,0,0,260,164,136,10,342,1452,7974
"3783, VIC",3,16,0,0,46,0,36,7,264,6,86,0,0,131,0,85,356,255,121,181,0,0,0,92,66,32,5,254,518,2559
"3785, VIC",0,4,0,0,3,0,3,6,12,0,0,0,0,9,0,0,4,3,5,0,0,0,0,4,3,0,0,0,16,69
"3786, VIC",0,36,0,0,88,4,47,13,298,0,65,0,0,86,0,44,129,167,61,65,0,0,0,36,23,31,3,61,267,1524
"3787, VIC",0,15,0,0,60,0,33,7,171,0,48,0,0,45,0,34,75,128,39,54,0,0,0,26,11,24,0,40,143,961
"3788, VIC",4,31,0,4,88,3,55,13,307,3,89,0,0,106,0,56,160,181,75,82,0,3,0,48,22,29,0,102,315,1773
"3789, VIC",0,8,0,0,27,4,10,0,52,0,18,4,0,20,0,6,20,27,13,9,0,0,0,5,0,8,0,14,52,294
"3791, VIC",0,43,0,0,67,5,48,10,262,0,71,0,0,63,0,52,137,176,77,54,0,0,0,29,16,34,6,51,206,1418
"3792, VIC",4,17,0,0,45,3,30,7,170,0,55,0,0,65,0,45,102,125,43,45,0,0,0,24,13,26,0,25,203,1046
"3793, VIC",0,21,0,0,104,4,62,12,406,0,142,5,0,194,0,143,519,388,198,264,0,0,0,145,80,67,8,187,711,3651
"3795, VIC",0,4,0,0,27,7,26,3,135,0,34,3,0,74,0,48,182,141,87,92,0,3,0,72,51,22,5,59,254,1323
"3796, VIC",5,23,0,0,214,14,168,40,1048,3,381,5,0,544,0,433,1502,1142,586,689,0,0,0,351,201,171,20,291,1962,9799
"3797, VIC",0,8,0,0,54,0,48,7,264,3,97,3,0,168,0,135,584,359,251,343,0,6,0,174,162,64,15,353,675,3764
"3799, VIC",0,24,0,4,127,9,103,22,472,0,232,4,0,266,0,225,784,627,373,506,0,0,0,267,201,97,10,656,949,5951
"3802, VIC",15,125,6,9,1006,37,257,74,3133,23,970,8,0,1264,0,606,2221,3778,1115,1499,0,7,3,721,962,481,452,1395,4306,24455
"3803, VIC",8,22,3,0,325,10,78,18,1143,8,333,9,0,538,0,285,977,1762,474,764,0,7,0,386,560,214,385,808,2228,11355
"3804, VIC",6,47,0,4,213,22,108,18,1085,0,263,6,0,434,0,206,1033,1282,475,541,0,4,0,266,265,135,109,467,1480,8466
"3805, VIC",25,175,9,22,1829,79,565,154,6293,38,1699,36,0,3175,3,1850,5893,8722,3104,3817,0,40,11,1978,1819,1095,1194,2823,12171,58600
"3806, VIC",29,278,10,41,2413,125,723,197,7080,17,1796,33,0,2768,0,1568,4892,6593,2617,3180,3,16,4,1634,1145,930,203,2360,10657,51308
"3807, VIC",7,44,0,0,223,6,125,37,846,3,278,6,0,437,0,285,945,1007,459,524,0,5,0,271,186,144,23,315,1468,7655
"3808, VIC",0,14,0,0,94,7,49,11,393,0,127,0,0,151,0,79,440,357,152,223,0,0,0,84,51,52,14,207,635,3147
"3809, VIC",14,74,0,5,1007,41,254,74,2702,22,632,11,0,1319,0,740,1987,2222,790,994,0,10,0,456,269,306,65,789,4886,19662
"3810, VIC",20,137,4,11,1587,64,591,136,5023,33,1396,34,0,3165,0,2154,6583,6355,2806,4111,0,32,0,2067,1463,952,332,3245,13280,55588
"3812, VIC",0,4,0,0,35,0,24,3,214,0,65,0,0,103,0,96,404,268,152,218,0,0,0,111,62,44,5,239,451,2488
"3813, VIC",0,3,0,0,15,3,15,3,96,0,33,0,0,41,0,31,152,106,73,70,0,0,0,33,25,26,6,91,153,963
"3814, VIC",0,3,0,0,35,3,31,6,198,0,67,0,0,101,0,92,414,275,152,228,0,0,0,112,76,36,3,226,531,2604
"3815, VIC",0,15,0,0,42,4,45,7,283,5,112,0,0,139,0,145,576,367,237,294,0,0,0,168,122,52,6,297,786,3693
"3816, VIC",0,0,0,0,36,3,22,4,188,6,70,3,0,137,0,126,499,303,183,332,0,0,0,139,102,55,8,309,698,3227
"3818, VIC",16,38,0,0,259,10,239,48,1391,10,507,6,0,799,0,723,2588,1678,1055,1514,0,7,0,815,656,348,56,1054,3479,17313
"3820, VIC",23,97,3,10,503,25,386,84,2190,6,637,3,0,1033,0,750,2584,1999,1181,1579,0,17,3,864,671,400,67,1268,3671,20054
"3821, VIC",7,16,0,0,74,6,54,13,367,0,111,0,0,130,0,105,443,279,186,213,0,0,0,139,75,49,3,261,603,3142
"3822, VIC",0,3,0,0,13,0,18,7,59,0,28,0,0,42,0,40,165,72,56,95,0,0,0,58,41,8,5,85,199,1001
"3823, VIC",0,7,0,0,49,0,23,8,190,0,74,3,0,111,0,64,345,217,140,197,0,3,0,96,61,29,5,135,366,2117
"3824, VIC",0,17,0,0,88,8,85,20,465,3,146,0,0,234,0,183,805,541,382,477,0,6,0,245,189,96,7,403,1036,5438
"3825, VIC",9,40,3,0,191,14,186,45,1135,15,461,4,0,857,0,872,3464,1967,1411,2214,0,33,3,1209,1049,309,104,2031,3455,21078
"3831, VIC",0,9,0,0,30,0,38,6,168,0,81,0,0,93,0,74,318,195,107,149,0,5,0,92,74,30,0,199,347,2012
"3832, VIC",0,0,0,0,3,0,3,0,19,0,10,0,0,9,0,7,35,24,20,30,0,0,0,10,11,6,0,15,38,245
"3833, VIC",0,0,0,0,7,0,4,0,26,0,12,0,0,9,0,10,54,31,23,23,0,0,0,10,14,7,0,54,36,340
"3835, VIC",0,0,0,0,8,0,5,0,45,0,11,0,0,14,0,20,63,38,46,47,0,0,0,34,16,4,0,31,83,475
"3840, VIC",8,34,0,4,176,17,129,33,927,10,287,3,0,623,0,577,2458,1717,1196,1715,0,19,5,960,893,241,139,2056,3009,17225
"3842, VIC",3,24,0,0,65,7,52,17,313,4,102,0,0,216,0,177,709,512,345,474,0,9,0,265,164,78,17,444,938,4924
"3844, VIC",17,74,6,35,621,33,386,127,2872,19,763,12,0,1471,0,1214,4564,3049,2034,2664,0,17,4,1432,1165,438,93,2319,5746,31179
"3847, VIC",0,3,0,0,21,5,29,4,127,5,52,0,0,79,0,90,370,194,151,225,0,0,0,128,87,35,5,286,388,2278
"3850, VIC",10,23,7,14,350,22,214,61,1497,5,462,7,0,741,0,564,1951,1501,1039,1363,0,14,0,720,581,226,62,1197,2832,15472
"3851, VIC",0,7,0,0,78,7,61,8,403,3,164,0,0,217,20,190,912,506,392,1169,0,3,0,321,199,84,5,639,833,6231
"3852, VIC",0,0,0,0,3,0,0,5,114,0,0,0,0,9,0,6,4,47,0,4,0,0,0,0,0,0,0,6,3,210
"3854, VIC",0,0,0,0,15,0,17,6,108,0,32,4,0,59,0,59,277,110,122,128,0,0,0,69,36,26,0,114,288,1478
"3856, VIC",0,3,0,0,10,0,11,4,75,0,25,0,0,43,0,33,201,83,71,110,0,3,0,54,21,15,0,87,228,1085
"3857, VIC",0,0,0,0,10,0,0,0,30,0,4,0,0,14,0,10,54,42,38,44,0,0,0,16,11,0,0,45,53,389
"3858, VIC",4,0,0,0,25,4,30,4,158,0,76,0,0,109,0,100,463,248,245,327,0,4,4,200,144,41,7,420,527,3125
"3859, VIC",0,6,0,0,14,0,13,3,68,0,18,0,0,21,0,37,146,90,73,85,0,0,0,50,27,22,3,90,186,945
"3860, VIC",3,19,0,6,90,9,112,24,584,0,203,0,0,271,0,280,1167,614,525,736,0,10,0,388,283,105,9,615,1391,7455
"3862, VIC",0,0,0,0,41,0,49,8,256,3,96,3,0,185,0,163,573,319,236,326,0,10,0,162,101,68,6,274,672,3547
"3864, VIC",0,0,0,0,3,0,0,0,13,0,10,0,0,9,0,6,39,28,11,25,0,0,0,13,5,0,0,25,34,241
"3865, VIC",0,0,0,0,0,0,0,0,33,0,13,0,0,19,0,20,66,76,43,45,0,0,0,45,19,4,3,63,79,527
"3869, VIC",0,10,0,0,25,0,30,10,150,0,55,4,0,83,0,68,310,169,116,147,0,0,0,45,48,25,3,123,310,1738
"3870, VIC",0,6,0,0,23,3,23,7,125,0,47,0,0,59,0,54,205,125,74,101,0,0,0,55,38,26,3,139,203,1319
"3871, VIC",0,10,0,0,56,5,49,17,314,5,94,0,0,131,0,129,434,276,193,220,0,0,0,142,102,57,7,253,542,3039
"3873, VIC",0,0,0,0,3,0,0,0,20,0,13,0,0,13,0,9,57,17,15,40,0,0,0,9,14,14,0,27,71,324
"3874, VIC",0,3,0,0,4,0,7,0,42,0,23,0,0,19,0,29,103,45,55,71,0,0,0,37,36,12,0,61,59,610
"3875, VIC",9,41,6,18,299,29,265,59,1545,17,647,7,0,889,0,704,2731,2063,1355,1909,0,22,4,1023,775,320,51,1785,3435,20015
"3878, VIC",0,5,0,0,32,0,30,3,125,0,62,0,0,61,0,35,237,113,88,128,0,4,0,67,48,31,0,94,135,1306
"3880, VIC",0,13,0,0,90,7,87,11,373,3,233,3,0,222,0,156,648,393,296,518,0,0,0,212,133,115,10,323,391,4235
"3882, VIC",0,0,0,0,17,0,18,4,102,0,38,0,0,71,0,53,229,128,75,139,0,0,0,58,48,22,5,75,236,1322
"3885, VIC",0,4,0,0,26,0,33,3,142,0,67,0,0,90,0,65,288,148,112,186,0,0,0,84,83,25,0,184,314,1876
"3886, VIC",0,0,0,0,3,0,9,0,26,0,11,0,0,16,0,12,69,30,26,46,0,0,0,29,17,5,0,43,74,415
"3887, VIC",0,0,0,0,5,0,4,0,22,0,6,0,0,11,0,3,42,21,20,27,0,0,0,13,17,4,0,45,25,268
"3888, VIC",0,6,0,0,51,3,44,4,264,0,89,0,0,143,0,99,437,315,251,361,0,5,0,203,182,70,9,455,505,3502
"3889, VIC",0,0,0,0,0,0,0,0,4,0,8,0,0,10,0,9,28,11,7,16,0,0,0,9,8,4,0,40,16,171
"3890, VIC",0,0,0,0,0,0,3,0,18,0,12,0,0,13,0,11,39,33,32,34,0,4,0,15,20,8,0,51,50,335
"3891, VIC",0,0,0,0,3,0,0,0,9,0,4,0,0,8,0,0,12,10,8,7,0,0,0,0,3,4,0,20,19,121
"3892, VIC",0,9,0,0,43,5,37,7,138,3,54,0,0,44,0,32,165,105,75,96,0,0,0,37,36,37,4,113,142,1183
"3893, VIC",0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25
"3895, VIC",0,3,0,0,0,0,4,0,11,0,8,0,0,13,0,8,27,17,18,31,0,0,0,15,8,0,0,16,23,198
"3896, VIC",0,0,0,0,3,0,10,4,38,0,17,0,0,14,0,7,43,36,25,31,0,0,0,10,15,3,0,35,58,351
"3898, VIC",0,5,0,0,6,4,15,0,69,0,25,0,0,28,0,24,100,82,40,61,0,0,0,26,19,12,0,119,70,705
"3900, VIC",0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,4,17,20,19,17,0,0,0,12,4,0,0,42,17,173
"3902, VIC",0,0,0,0,3,0,3,0,21,0,14,0,0,17,0,15,75,34,33,51,0,0,0,28,15,7,0,62,48,423
"3903, VIC",0,0,0,0,8,0,9,6,71,0,24,0,0,41,0,41,134,67,45,96,0,0,0,32,28,18,6,78,151,861
"3904, VIC",0,9,0,0,63,0,39,4,237,7,104,0,0,113,0,62,267,202,105,140,0,4,0,85,38,53,0,163,230,1899
"3909, VIC",8,13,0,0,115,4,115,21,580,8,233,4,0,359,0,273,1243,757,577,984,0,12,0,521,350,173,19,1083,1252,8713
"3910, VIC",12,43,0,0,360,25,336,93,2230,21,726,7,0,1390,0,1031,3569,2750,1412,1837,0,12,4,864,588,446,75,1053,4697,23588
"3911, VIC",0,6,0,0,54,3,31,14,325,0,108,3,0,173,0,166,566,402,243,308,0,4,0,163,121,45,13,177,573,3514
"3912, VIC",15,29,0,0,252,16,221,44,1347,4,525,5,0,822,0,673,2393,1827,998,1265,0,5,0,675,424,293,48,853,2892,15633
"3913, VIC",3,13,0,0,47,6,44,13,309,4,147,0,0,187,0,178,556,416,223,268,0,0,0,149,82,70,4,161,579,3449
"3915, VIC",3,15,0,6,117,7,106,18,649,6,312,9,0,539,0,485,1528,1119,619,1051,0,6,3,591,438,195,33,916,1951,10723
"3916, VIC",0,30,0,7,64,0,30,4,253,0,47,0,0,28,0,17,70,110,48,69,0,0,0,25,11,16,0,65,119,1036
"3918, VIC",0,14,0,0,73,4,68,17,374,4,164,0,0,209,0,173,685,499,280,367,0,0,0,192,103,78,9,220,733,4276
"3919, VIC",5,9,0,0,34,0,34,8,196,5,100,0,0,194,0,172,583,348,176,295,0,0,0,171,94,46,4,202,652,3343
"3920, VIC",0,0,0,0,16,0,13,5,92,0,18,0,0,59,0,42,237,403,52,37,0,0,0,0,0,7,0,30,109,1124
"3921, VIC",0,0,0,0,3,0,0,0,22,0,6,0,0,6,0,3,9,16,9,13,0,0,0,0,8,4,0,15,16,139
"3922, VIC",13,46,0,3,217,16,178,34,1049,3,478,0,0,491,0,313,1331,1052,648,825,0,12,5,396,285,230,18,934,1518,10118
"3923, VIC",0,11,0,0,34,0,22,7,95,0,43,0,0,43,0,28,120,81,66,63,0,0,0,35,11,19,0,87,85,836
"3925, VIC",7,20,0,0,107,10,97,15,559,3,171,0,0,244,0,134,594,434,243,308,0,8,0,159,100,81,0,508,754,4550
"3926, VIC",8,22,0,0,141,10,93,13,670,3,184,0,0,162,0,87,359,356,147,174,0,0,0,53,39,56,0,238,604,3421
"3927, VIC",3,27,0,4,98,0,67,7,356,0,109,0,0,92,0,49,153,168,105,79,0,0,0,30,18,30,0,162,287,1857
"3928, VIC",0,9,0,0,28,0,14,0,96,0,20,0,0,18,0,6,37,45,28,25,0,0,0,7,7,20,0,43,46,453
"3929, VIC",0,26,0,8,71,0,33,0,268,5,87,0,0,41,0,13,54,119,45,48,0,0,0,17,13,24,0,153,105,1130
"3930, VIC",29,165,6,39,841,45,484,90,3423,6,906,10,0,914,6,448,1447,2210,907,888,0,0,0,492,252,380,16,881,3848,18734
"3931, VIC",23,99,3,16,685,39,526,99,3211,6,1157,12,0,1363,0,858,2939,3021,1593,1949,0,17,3,960,745,609,55,1910,3861,25759
"3933, VIC",0,9,0,0,28,0,14,0,144,0,35,0,0,47,0,34,124,141,58,72,0,5,0,43,29,18,3,51,140,1004
"3934, VIC",16,116,0,15,625,43,438,97,2911,8,1019,3,0,1052,0,585,2084,2325,1009,1263,0,4,0,606,360,444,46,966,3814,19846
"3936, VIC",10,36,0,5,288,16,219,39,1510,23,580,0,0,623,0,457,1711,1646,884,1106,0,9,0,468,463,253,57,1157,1798,13366
"3937, VIC",0,20,0,4,100,6,33,10,377,0,80,0,0,66,0,36,130,188,68,76,0,0,0,38,26,31,24,141,266,1717
"3938, VIC",0,14,0,4,93,5,73,9,439,4,167,0,0,168,0,116,479,400,240,231,0,0,0,91,59,81,6,234,400,3311
"3939, VIC",12,34,0,4,267,19,211,39,1407,6,598,6,0,741,0,586,2128,1734,1095,1395,4,12,0,719,580,354,58,1553,2346,15900
"3940, VIC",0,3,0,0,58,8,50,11,392,5,195,3,0,245,0,166,651,525,347,555,0,0,0,313,288,103,34,641,657,5246
"3941, VIC",11,59,0,4,298,13,220,30,1520,8,542,3,0,680,0,450,1813,1504,808,910,0,8,0,470,400,277,48,1376,2144,13591
"3942, VIC",0,23,0,3,111,4,68,10,444,0,185,0,0,128,0,55,287,345,168,140,0,0,0,69,53,58,7,297,325,2786
"3943, VIC",4,20,0,0,81,6,53,8,417,0,119,0,0,106,0,27,166,235,119,116,0,0,0,37,18,50,0,254,172,2013
"3944, VIC",0,15,0,6,42,3,28,0,204,0,56,0,0,27,0,10,33,126,54,31,0,0,0,7,3,21,0,79,28,787
"3945, VIC",0,3,0,0,21,5,19,0,102,0,61,0,0,36,0,31,161,85,79,87,0,0,0,49,26,30,0,80,197,1092
"3946, VIC",0,0,0,0,8,0,4,0,30,0,6,0,0,15,0,11,50,22,25,28,0,0,0,12,5,7,0,26,40,303
"3950, VIC",0,13,0,0,70,4,64,22,396,0,156,0,0,246,0,175,741,482,416,475,0,8,0,250,247,81,11,402,879,5133
"3951, VIC",0,5,0,0,24,4,19,6,134,0,39,0,0,47,0,27,145,107,83,74,0,0,0,34,21,19,0,72,169,1020
"3953, VIC",5,22,0,5,137,8,118,29,732,4,248,0,0,316,0,266,1094,775,657,766,0,12,0,410,310,143,24,607,1517,8194
"3954, VIC",0,0,0,0,14,0,6,3,62,0,14,0,0,18,0,12,55,33,31,31,0,0,0,10,12,0,0,17,48,366
"3956, VIC",0,19,0,0,87,4,58,8,356,5,101,0,0,108,0,93,427,309,204,247,0,0,0,107,89,46,6,271,477,3037
"3957, VIC",0,0,0,0,9,0,11,0,27,0,18,0,0,12,0,0,45,35,17,21,0,0,0,20,4,9,0,9,67,310
"3958, VIC",0,0,0,0,0,0,0,0,28,0,12,0,0,9,0,6,34,31,25,17,0,0,0,13,8,0,0,43,51,284
"3959, VIC",0,16,0,0,44,3,39,8,145,0,53,0,0,42,0,35,152,125,99,76,0,0,0,48,32,25,0,102,178,1223
"3960, VIC",0,19,0,5,74,4,52,7,271,0,139,0,0,113,0,89,339,244,202,223,0,0,0,134,115,50,4,299,325,2715
"3962, VIC",0,5,0,0,17,0,10,0,69,0,33,0,0,42,0,23,151,85,80,84,0,0,0,50,41,20,3,99,140,954
"3964, VIC",0,0,0,0,0,0,6,0,8,0,7,0,0,6,0,4,42,12,18,17,0,0,0,5,10,11,0,7,29,174
"3965, VIC",0,0,0,0,4,0,3,0,16,0,3,0,0,5,0,4,37,20,12,24,0,0,0,16,11,6,0,36,18,220
"3966, VIC",0,3,0,0,5,0,9,0,44,0,20,0,0,24,0,12,82,43,40,50,0,0,0,43,29,13,0,45,90,544
"3967, VIC",0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,14,15,3,18,0,0,0,5,7,0,0,13,9,108
"3971, VIC",0,12,0,0,41,7,51,12,260,6,111,0,0,163,0,119,672,385,323,423,0,6,0,273,191,75,16,468,581,4195
"3975, VIC",12,70,5,9,1023,33,166,37,2643,14,520,8,0,1023,0,431,1205,2501,591,793,0,9,5,430,503,318,313,808,4587,18048
"3976, VIC",11,52,0,0,666,40,175,32,2302,14,651,11,0,1299,0,740,2334,3985,1232,1786,4,15,6,923,1116,465,862,1772,5600,26082
"3977, VIC",43,247,11,21,3758,167,1072,259,11612,90,3145,50,3,6824,0,3851,12268,14497,5702,8003,0,78,25,4105,3179,1878,1511,6013,28735,117143
"3978, VIC",26,128,5,15,2454,114,452,112,6210,48,1291,21,0,3145,0,1253,3346,4898,1405,1850,0,15,0,855,616,705,311,1649,12275,43202
"3979, VIC",0,0,0,0,9,0,4,4,43,0,7,0,0,18,0,9,52,21,21,39,0,0,0,23,5,8,0,41,70,365
"3980, VIC",0,4,0,0,29,0,36,7,196,0,78,5,0,148,0,147,649,356,254,354,0,0,0,181,90,49,0,260,713,3571
"3981, VIC",0,3,0,0,33,0,46,7,273,4,125,0,0,226,0,214,860,585,371,529,0,0,0,310,211,91,23,347,1162,5437
"3984, VIC",4,15,0,0,76,7,94,8,407,10,204,0,0,355,0,297,1229,709,457,762,0,9,0,388,263,123,21,682,1243,7374
